Country,CountryRank,CPI2014Score
Denmark,1,92
New Zealand,2,91
Finland,3,89
Sweden,4,87
Norway,5,86
Switzerland,5,86
Singapore,7,84
Netherlands,8,83
Luxembourg,9,82
Canada,10,81
Australia,11,80
Germany,12,79
Iceland,12,79
United Kingdom,14,78
Belgium,15,76
Japan,15,76
Barbados,17,74
Hong Kong,17,74
Ireland,17,74
United States,17,74
Chile,21,73
Uruguay,21,73
Austria,23,72
Bahamas,24,71
United Arab Emirates,25,70
Estonia,26,69
France,26,69
Qatar,26,69
Saint Vincent and the Grenadines,29,67
Bhutan,30,65
Botswana,31,63
Cyprus,31,63
Portugal,31,63
Puerto Rico,31,63
Poland,35,61
Taiwan,35,61
Israel,37,60
Spain,37,60
Dominica,39,58
Lithuania,39,58
Slovenia,39,58
Cape Verde,42,57
Korea (South),43,55
Latvia,43,55
Malta,43,55
Seychelles,43,55
Costa Rica,47,54
Hungary,47,54
Mauritius,47,54
Georgia,50,52
Malaysia,50,52
Samoa,50,52
Czech Republic,53,51
Slovakia,54,50
Bahrain,55,49
Jordan,55,49
Lesotho,55,49
Namibia,55,49
Rwanda,55,49
Saudi Arabia,55,49
Croatia,61,48
Ghana,61,48
Cuba,63,46
Oman,64,45
The FYR of Macedonia,64,45
Turkey,64,45
Kuwait,67,44
South Africa,67,44
Brazil,69,43
Bulgaria,69,43
Greece,69,43
Italy,69,43
Romania,69,43
Senegal,69,43
Swaziland,69,43
Montenegro,76,42
Sao Tome and Principe,76,42
Serbia,78,41
Tunisia,79,40
Benin,80,39
Bosnia and Herzegovina,80,39
El Salvador,80,39
Mongolia,80,39
Morocco,80,39
Burkina Faso,85,38
India,85,38
Jamaica,85,38
Peru,85,38
Philippines,85,38
Sri Lanka,85,38
Thailand,85,38
Trinidad and Tobago,85,38
Zambia,85,38
Armenia,94,37
Colombia,94,37
Egypt,94,37
Gabon,94,37
Liberia,94,37
Panama,94,37
Algeria,100,36
China,100,36
Suriname,100,36
Bolivia,103,35
Mexico,103,35
Moldova,103,35
Niger,103,35
Argentina,107,34
Djibouti,107,34
Indonesia,107,34
Albania,110,33
Ecuador,110,33
Ethiopia,110,33
Kosovo,110,33
Malawi,110,33
Côte d´Ivoire,115,32
Dominican Republic,115,32
Guatemala,115,32
Mali,115,32
Belarus,119,31
Mozambique,119,31
Sierra Leone,119,31
Tanzania,119,31
Vietnam,119,31
Guyana,124,30
Mauritania,124,30
Azerbaijan,126,29
Gambia,126,29
Honduras,126,29
Kazakhstan,126,29
Nepal,126,29
Pakistan,126,29
Togo,126,29
Madagascar,133,28
Nicaragua,133,28
Timor-Leste,133,28
Cameroon,136,27
Iran,136,27
Kyrgyzstan,136,27
Lebanon,136,27
Nigeria,136,27
Russia,136,27
Comoros,142,26
Uganda,142,26
Ukraine,142,26
Bangladesh,145,25
Guinea,145,25
Kenya,145,25
Laos,145,25
Papua New Guinea,145,25
Central African Republic,150,24
Paraguay,150,24
Congo Republic,152,23
Tajikistan,152,23
Chad,154,22
Democratic Republic of the Congo,154,22
Cambodia,156,21
Myanmar,156,21
Zimbabwe,156,21
Burundi,159,20
Syria,159,20
Angola,161,19
Guinea-Bissau,161,19
Haiti,161,19
Venezuela,161,19
Yemen,161,19
Eritrea,166,18
Libya,166,18
Uzbekistan,166,18
Turkmenistan,169,17
Iraq,170,16
South Sudan,171,15
Afghanistan,172,12
Sudan,173,11
Korea (North),174,8
Somalia,174,8
