Year,Total,CO2,CH4,N2O,Air Total,Air CO2,Air CH4,Air N2O,Road Total,Road CO2,Road CH4,Road N2O,Rail Total,Rail CO2,Rail CH4,Rail N2O,Marine Total,Marine CO2,Marine CH4,Marine N2O,Other Total,Other CO2,Other CH4,Other N2O
2013-12-31,1749700.0,1731200.0,1600.0,16900.0,150100.0,148700.0,,1400.0,1458700.0,1442700.0,1500.0,14500.0,44800.0,44400.0,100.0,300.0,39600.0,38900.0,,700.0,56500.0,56500.0,,
2012-12-31,1733300.0,1712900.0,1700.0,18700.0,146500.0,145100.0,,1400.0,1453800.0,1435900.0,1600.0,16300.0,44100.0,43700.0,100.0,300.0,40300.0,39600.0,,700.0,48600.0,48600.0,,
2011-12-31,1779400.0,1724800.0,1800.0,21100.0,149900.0,148500.0,,1400.0,1459000.0,1438700.0,1700.0,18600.0,45400.0,45000.0,100.0,300.0,46600.0,45800.0,,800.0,46800.0,46800.0,,
2010-12-31,1799600.0,1746000.0,1800.0,22300.0,154900.0,153400.0,,1500.0,1479700.0,1458300.0,1700.0,19700.0,43900.0,43500.0,100.0,300.0,45000.0,44200.0,,800.0,46600.0,46600.0,,
2009-12-31,1782900.0,1733200.0,1800.0,23100.0,157300.0,155900.0,,1400.0,1475600.0,1453000.0,1700.0,20900.0,41100.0,40700.0,100.0,300.0,38900.0,38400.0,,500.0,45200.0,45200.0,,
2008-12-31,1856100.0,1809700.0,1900.0,25200.0,176700.0,175100.0,,1600.0,1521100.0,1496700.0,1800.0,22600.0,48400.0,47900.0,100.0,400.0,45500.0,44900.0,,600.0,45100.0,45100.0,,
2007-12-31,1934200.0,1905000.0,2000.0,28600.0,183400.0,181700.0,,1700.0,1600800.0,1573100.0,1900.0,25800.0,52100.0,51600.0,100.0,400.0,54900.0,54200.0,,700.0,44400.0,44400.0,,
2006-12-31,1926900.0,1886300.0,2500.0,33600.0,173600.0,171800.0,200.0,1600.0,1605500.0,1572300.0,2200.0,31000.0,52900.0,52400.0,100.0,400.0,48200.0,47600.0,,600.0,42200.0,42200.0,,
2005-12-31,1944100.0,1906600.0,2000.0,35500.0,193700.0,191800.0,,1900.0,1612100.0,1577600.0,1900.0,32600.0,50800.0,50300.0,100.0,400.0,45100.0,44500.0,,600.0,42400.0,42400.0,,
2004-12-31,1922300.0,1881600.0,2300.0,38400.0,186300.0,184600.0,200.0,1500.0,1604400.0,1566400.0,2000.0,36000.0,50200.0,49700.0,100.0,400.0,40100.0,39600.0,,500.0,41300.0,41300.0,,
2003-12-31,1881700.0,1838000.0,2500.0,41200.0,183000.0,181300.0,200.0,1500.0,1571300.0,1530200.0,2200.0,38900.0,47500.0,47100.0,100.0,300.0,37300.0,36800.0,,500.0,42600.0,42600.0,,
2002-12-31,1884100.0,1836800.0,2700.0,44600.0,180900.0,179200.0,200.0,1500.0,1562500.0,1517900.0,2400.0,42200.0,45800.0,45400.0,100.0,300.0,47400.0,46800.0,,600.0,47500.0,47500.0,,
2001-12-31,1854100.0,1802400.0,3000.0,48700.0,192400.0,190600.0,200.0,1600.0,1527400.0,1478400.0,2700.0,46300.0,46300.0,45900.0,100.0,300.0,42500.0,42000.0,,500.0,45500.0,45500.0,,
2000-12-31,1879900.0,1825100.0,3100.0,51700.0,204200.0,202300.0,200.0,1700.0,1521500.0,1469900.0,2800.0,48800.0,46000.0,45600.0,100.0,300.0,60900.0,60000.0,,900.0,47300.0,47300.0,,
1999-12-31,1833100.0,1777100.0,3300.0,52700.0,198000.0,196100.0,200.0,1700.0,1511800.0,1458700.0,3000.0,50100.0,45900.0,45500.0,100.0,300.0,29700.0,29100.0,,600.0,47700.0,47700.0,,
1998-12-31,1769700.0,1712400.0,3600.0,53700.0,183600.0,181900.0,200.0,1500.0,1461200.0,1406400.0,3300.0,51500.0,44300.0,43900.0,100.0,300.0,33500.0,33100.0,,400.0,47100.0,47100.0,,
1997-12-31,1739100.0,1681500.0,3700.0,53900.0,185800.0,184000.0,200.0,1600.0,1416900.0,1362000.0,3400.0,51500.0,44000.0,43600.0,100.0,300.0,39600.0,39100.0,,500.0,52800.0,52800.0,,
1996-12-31,1718200.0,1661200.0,3900.0,53100.0,182000.0,180300.0,200.0,1500.0,1388200.0,1334000.0,3600.0,50600.0,43800.0,43400.0,100.0,300.0,54300.0,53600.0,,700.0,49900.0,49900.0,,
1995-12-31,1679100.0,1622500.0,4000.0,52600.0,175300.0,173600.0,200.0,1500.0,1352700.0,1299000.0,3700.0,50000.0,43100.0,42700.0,100.0,300.0,58500.0,57700.0,,800.0,49500.0,49500.0,,
1990-12-31,1556200.0,1508800.0,4400.0,43000.0,189200.0,187400.0,100.0,1800.0,1235100.0,1190600.0,4200.0,40300.0,38900.0,38500.0,100.0,300.0,45100.0,44500.0,,600.0,47800.0,47800.0,,
