Date,Value
2017-12-31,8894.6004904
2016-12-31,8780.6376995
2015-12-31,8576.8767123
2014-12-31,8330.5506849
2013-12-31,8187.1890411
2012-12-31,8113.204918
2011-12-31,8070.7260274
2010-12-31,8128.6657534
2009-12-31,8100.7178082
2008-12-31,8132.5928962
2007-12-31,8304.4438356
2006-12-31,8258.5506849
2005-12-31,8190.2136986
2004-12-31,8100.5163934
2003-12-31,7918.4136986
2002-12-31,7823.3123288
2001-12-31,7659.2054795
2000-12-31,7505.2622951
1999-12-31,7340.9808219
1998-12-31,7192.7780822
1997-12-31,7014.7205479
1996-12-31,6781.9699454
1995-12-31,6637.7369863
1994-12-31,6459.1452055
1993-12-31,6292.3424658
1992-12-31,6139.7595628
1991-12-31,5951.2712329
1990-12-31,5883.5643836
